frame_index,filename,timestamp,found,x,y,r,score,inliers,flow_dx,flow_dy,flow_dist,flow_n,ransac_vs_flow_error,motion_dx,motion_dy,motion_dist,motion_angle_deg,motion_direction,motion_speed,rotation_label,rotation_score,mean_ang_deg,ccw_fraction,cw_fraction,rot_n,x_smooth,y_smooth,r_smooth,jump_flag,dx,dy,dr,dist_moved,dx_smooth,dy_smooth,dr_smooth,dist_moved_smooth,good_detection,true_x,true_y
1,ida_full_20210829_1000.png,2021-08-29T10:00:00,True,2057.712402,1262.891357,94.86387634,237.693512,242,,,,0,,,,,,,,Uncertain,,,,,0,2057.712402,1262.891357,94.86387634,False,,,,,,,,,0,2041,1250
2,ida_full_20210829_1010.png,2021-08-29T10:10:00,True,2069.038818,1257.877319,90.6955719,221.2685852,253,0.39831543,-0.572177887,0.697167638,47,11.79633436,11.32641602,-5.014038086,12.38661688,-23.87826881,NE,1.238661688,CCW,0.8625,0.59644809,0.8625,0.1375,80,2061.676648,1261.136444,93.40496979,False,11.32641602,-5.014038086,-4.168304443,12.38661688,3.964245605,-1.75491333,-1.458906555,4.335315907,0,2043,1255
3,ida_full_20210829_1020.png,2021-08-29T10:20:00,True,2057.148682,1262.194946,72.25930786,226.9785309,257,0.20173645,-1.119354248,1.137388029,50,5.207028604,-4.527966309,1.058502197,4.650043633,166.8422585,W,0.465004363,CCW,0.9,0.679495976,0.9,0.1,80,2060.09186,1261.50692,86.00398811,False,-11.89013672,4.317626953,-18.43626404,12.64979263,-1.584788208,0.370475769,-7.400981674,1.627515272,0,2040,1257
4,ida_full_20210829_1030.png,2021-08-29T10:30:00,True,2052.523193,1273.137939,71.55588531,220.6178284,255,1.38483429,-1.563171387,2.08836558,49,15.94527673,-7.568666382,11.63101959,13.87679097,123.0533059,SW,1.387679097,CCW,0.9125,0.881503645,0.9125,0.0875,80,2057.442827,1265.577777,80.94715213,False,-4.625488281,10.94299316,-0.703422546,11.88041419,-2.649033234,4.070856857,-5.056835979,4.856876839,0,2038,1259
5,ida_full_20210829_1040.png,2021-08-29T10:40:00,True,2049.684326,1261.557617,59.60266876,160.0486145,194,1.797859192,-0.770240784,1.955906066,48,10.09385849,-7.758500336,-4.020159531,8.738192611,-152.6085286,NW,0.873819261,CCW,0.9375,1.122618086,0.9375,0.0625,80,2054.727351,1264.170721,73.47658295,False,-2.838867188,-11.58032227,-11.95321655,11.92321394,-2.715475117,-1.407055836,-7.47056918,3.058367414,0,2037,1258
6,ida_full_20210829_1050.png,2021-08-29T10:50:00,True,2040.604614,1261.257813,58.6316185,126.321991,163,2.338897705,-0.61265564,2.417806735,30,16.62156985,-14.12273713,-2.912908382,14.42001177,-168.3457942,W,1.442001177,CCW,0.9875,0.990607982,0.9875,0.0125,80,2049.784393,1263.151203,68.28084539,False,-9.079711914,-0.299804688,-0.971050262,9.084660219,-4.942957996,-1.019517934,-5.195737559,5.047004118,0,2044,1264
7,ida_full_20210829_1100.png,2021-08-29T11:00:00,True,2039.415649,1261.897583,60.75183487,157.8501892,185,2.258340836,-0.605838776,2.338192454,26,12.64368978,-10.36874398,-1.253619941,10.44425271,-173.1061865,W,1.044425271,CCW,0.95,1.487462058,0.95,0.05,80,2046.155333,1262.712436,65.64569171,False,-1.188964844,0.639770508,2.12021637,1.350164324,-3.629060393,-0.438766979,-2.635153684,3.655488449,0,2035,1268
8,ida_full_20210829_1110.png,2021-08-29T11:10:00,True,2023.077515,1258.222778,61.97612762,179.1492615,220,2.591972351,-0.82087326,2.718851518,21,25.93064083,-23.07781835,-4.489657649,23.51048119,-168.9909473,W,2.351048119,CCW,0.975,1.618565976,0.975,0.025,80,2038.078097,1261.141056,64.36134428,False,-16.33813477,-3.674804688,1.224292755,16.74630816,-8.077236423,-1.571380177,-1.28434743,8.228668416,0,2038,1267
9,ida_full_20210829_1120.png,2021-08-29T11:20:00,True,2039.26062,1256.5,61.27892685,196.8221588,214,0.618968964,-0.808055878,1.017878617,14,3.874207287,1.18252354,-4.641055792,4.789338241,-75.70541078,N,0.478933824,CCW,0.9625,1.488792882,0.9625,0.0375,80,2038.49198,1259.516686,63.28249818,False,16.18310547,-1.72277832,-0.697200775,16.27454662,0.413883239,-1.624369527,-1.078846101,1.676268384,0,2038,1262
10,ida_full_20210829_1130.png,2021-08-29T11:30:00,True,2037.718872,1257.618286,61.38784027,224.999527,239,-1.291397095,-0.05115509,1.292409881,10,1.918577101,-0.773107746,-1.898400132,2.049785025,-112.1582038,N,0.204978502,CCW,0.95,1.608758325,0.95,0.05,80,2038.221392,1258.852246,62.61936791,False,-1.541748047,1.118286133,0.108913422,1.904613062,-0.270587711,-0.664440046,-0.663130268,0.717424759,0,2039,1277
11,ida_full_20210829_1140.png,2021-08-29T11:40:00,True,2022.003296,1266.502197,64.92102814,219.6225281,255,2.14389801,-2.330699921,3.16677451,21,20.89919198,-16.21809621,7.649951047,17.93177056,154.7471092,SW,1.793177056,CCW,0.935064935,1.325616786,0.935064935,0.064935065,77,2032.545058,1261.529729,63.42494899,False,-15.71557617,8.883911133,3.533187866,18.05278957,-5.676333672,2.677482866,0.805581079,6.276119698,0,2053,1266
