frame_index,filename,timestamp,found,x,y,r,score,inliers,flow_dx,flow_dy,flow_dist,flow_n,ransac_vs_flow_error,motion_dx,motion_dy,motion_dist,motion_angle_deg,motion_direction,motion_speed,rotation_label,rotation_score,mean_ang_deg,ccw_fraction,cw_fraction,rot_n,x_smooth,y_smooth,r_smooth,jump_flag,dx,dy,dr,dist_moved,dx_smooth,dy_smooth,dr_smooth,dist_moved_smooth,good_detection
1,iota_full_20201116_1200.png,2020-11-16T12:00:00,True,3880.3125,3072.539551,119.8250198,374.8081055,396,,,,0,,,,,,,,Uncertain,,,,,0,3880.3125,3072.539551,119.8250198,False,,,,,,,,,0
2,iota_full_20201116_1210.png,2020-11-16T12:10:00,True,3893.129395,3090.929688,107.0396576,217.208725,272,-1.471553087,-3.543926239,3.837301353,50,26.17752573,12.81689453,18.39013672,22.41584069,55.12566454,SE,2.241584069,CW,0.6125,-0.279951659,0.3875,0.6125,80,3884.798413,3078.976099,115.3501431,False,12.81689453,18.39013672,-12.78536224,22.41584069,4.485913086,6.436547852,-4.474876785,7.845544242,0
3,iota_full_20201116_1220.png,2020-11-16T12:20:00,True,3861.447998,3081.958984,100.7692337,252.8461761,313,-1.221523285,-4.239127159,4.411611747,42,23.27757119,-23.35041504,2.982885742,23.54016758,172.7202105,W,2.354016758,Uncertain,0.5125,-0.082807172,0.4875,0.5125,80,3876.625768,3080.020109,110.2468248,False,-31.68139648,-8.970703125,-6.270423889,32.92695549,-8.172645264,1.04401001,-5.103318272,8.239058654,0
4,iota_full_20201116_1230.png,2020-11-16T12:30:00,True,3848.519775,3065.105957,88.45584869,271.4591675,353,-1.467575073,-3.506813526,3.801515185,50,28.97814075,-28.10599243,-14.91415161,31.8178995,-152.0478095,NW,3.18178995,Uncertain,0.5625,-0.080685557,0.4375,0.5625,80,3866.78867,3074.800156,102.6199831,False,-12.92822266,-16.85302734,-12.31338501,21.24060902,-9.837097351,-5.219953064,-7.62684163,11.13626483,0
5,iota_full_20201116_1240.png,2020-11-16T12:40:00,True,3845.667969,3040.826904,93.5657196,310.5139465,384,-1.393066406,-3.244618416,3.53103139,50,36.5161399,-21.12070172,-33.97325128,40.00332291,-121.8686467,NW,4.000332291,Uncertain,0.575,-0.149369217,0.425,0.575,80,3859.396425,3062.909518,99.45099091,False,-2.851806641,-24.27905273,5.109870911,24.44596496,-7.392245602,-11.89063795,-3.168992241,14.00116302,0
6,iota_full_20201116_1250.png,2020-11-16T12:50:00,True,3841.772217,3038.385986,92.1545105,264.2722168,320,-1.476802826,-3.73638916,4.017654856,47,26.32192954,-17.62420807,-24.5235313,30.19960757,-125.7034869,NW,3.019960757,Uncertain,0.5625,-0.09548162,0.4375,0.5625,80,3853.227952,3054.326282,96.89722277,False,-3.895751953,-2.440917969,-1.411209106,4.59727787,-6.168472825,-8.583235956,-2.553768144,10.56986265,0
7,iota_full_20201116_1300.png,2020-11-16T13:00:00,True,3841.340088,3030.328857,97.60629272,305.1472473,355,-1.686767578,-4.094727516,4.428541328,42,22.36469782,-11.88786415,-23.99742425,26.78054676,-116.3529335,NW,2.678054676,CW,0.6125,-0.260012744,0.3875,0.6125,80,3849.0672,3045.927183,97.14539725,False,-0.432128906,-8.057128906,5.451782227,8.068708794,-4.160752454,-8.399098488,0.248174486,9.373191367,0
8,iota_full_20201116_1310.png,2020-11-16T13:10:00,True,3838.909912,3030.847656,98.39962006,365.4234619,405,-1.805805206,-4.116588593,4.49524572,48,13.78162811,-10.15728748,-15.07952694,18.18138118,-123.9634712,NW,1.818138118,CW,0.75,-0.512083763,0.25,0.75,80,3845.512149,3040.649349,97.58437523,False,-2.430175781,0.518798828,0.793327332,2.484935925,-3.555050618,-5.277834428,0.438977982,6.363483413,0
9,iota_full_20201116_1320.png,2020-11-16T13:20:00,True,3837.257324,3027.310303,97.22293854,371.8991699,410,-1.643930435,-3.937879562,4.267247675,48,11.49286102,-8.254824753,-13.33904602,15.68669119,-121.7511573,NW,1.568669119,CW,0.7,-0.524172842,0.3,0.7,80,3842.62296,3035.980683,97.45787239,False,-1.652587891,-3.537353516,-1.176681519,3.904345865,-2.889188664,-4.668666108,-0.126502843,5.490341917,0
10,iota_full_20201116_1330.png,2020-11-16T13:30:00,True,3835.875977,3023.682617,101.3396759,370.6998596,409,-1.651695251,-3.926330566,4.259597272,49,9.800403564,-6.746983746,-12.29806546,14.02726644,-118.7501217,NW,1.402726644,CW,0.7,-0.614733005,0.3,0.7,80,3840.261516,3031.67636,98.81650362,False,-1.381347656,-3.627685547,4.116737366,3.881781005,-2.361444311,-4.304322912,1.35863123,4.909543254,0
11,iota_full_20201116_1340.png,2020-11-16T13:40:00,True,3835.398926,3021.927246,102.128952,384.1134644,419,-1.724424362,-4.134022713,4.479261454,50,6.432521364,-4.862590216,-9.749113644,10.89449404,-116.5087611,NW,1.089449404,CW,0.75,-0.619000126,0.25,0.75,80,3838.559609,3028.26417,99.97586056,False,-0.477050781,-1.755371094,0.789276123,1.819039616,-1.701906576,-3.412189776,1.159356942,3.813072915,0
12,iota_full_20201116_1350.png,2020-11-16T13:50:00,True,3815.04541,3025.681885,97.04785156,310.3467102,357,-1.771884918,-4.283123016,4.635161155,49,21.80873867,-23.51419927,-2.582285197,23.65556518,-173.732998,W,2.365556518,CW,0.75,-0.599696366,0.25,0.75,80,3830.32964,3027.36037,98.95105741,False,-20.35351563,3.754638672,-5.081100464,20.69692996,-8.229969743,-0.903799819,-1.02480315,8.279447813,0
13,iota_full_20201116_1400.png,2020-11-16T14:00:00,True,3820.283691,3059.772949,91.60335541,230.6955414,293,-1.99546814,-3.636135101,4.14769473,49,36.93670294,-10.04594827,32.41257908,33.93370535,107.2202893,S,3.393370535,CW,0.725,-0.531964894,0.275,0.725,80,3826.813558,3038.704773,96.37936171,False,5.23828125,34.09106445,-5.444496155,34.49116214,-3.516081895,11.34440268,-2.571695702,11.87679687,0
14,iota_full_20201116_1410.png,2020-11-16T14:10:00,True,3823.435791,3054.501465,92.03642273,253.5926056,293,-1.630722046,-3.072191238,3.478162359,48,18.94958894,-3.377766768,15.79669202,16.15378554,102.0696522,S,1.615378554,CW,0.725,-0.484305784,0.275,0.725,80,3825.631339,3044.233615,94.85933307,False,3.152099609,-5.271484375,0.433067322,6.142009399,-1.182218369,5.528842208,-1.520028643,5.653824939,0
15,iota_full_20201116_1420.png,2020-11-16T14:20:00,True,3823.742676,3052.761475,93.83841705,267.3227844,296,-1.245227814,-2.969099045,3.219649274,48,11.51494973,-1.888663633,8.527859581,8.734497087,102.4877211,S,0.873449709,CW,0.6625,-0.256502757,0.3375,0.6625,80,3824.970307,3047.218366,94.50201246,False,0.306884766,-1.739990234,1.801994324,1.766845855,-0.661032272,2.984750853,-0.357320605,3.05707398,0
16,iota_full_20201116_1430.png,2020-11-16T14:30:00,True,3826.309326,3056.84668,76.34981537,204.5706787,241,-1.958414078,-2.759112358,3.383502136,50,12.81879058,1.339019029,9.628313806,9.72097725,82.08260199,S,0.972097725,Uncertain,0.575,-0.201592959,0.425,0.575,80,3825.438964,3050.588276,88.14874348,False,2.566650391,4.085205078,-17.48860168,4.82458234,0.46865666,3.369909832,-6.353268983,3.402342038,0
17,iota_full_20201116_1440.png,2020-11-16T14:40:00,True,3826.591553,3061.887207,71.86967468,204.3112335,241,-1.566972733,-2.422276497,2.884931017,49,13.98812209,1.152588931,11.29893132,11.35756621,84.17548097,S,1.135756621,Uncertain,0.5125,-0.042700008,0.4875,0.5125,80,3825.84237,3054.542902,82.4510694,False,0.282226563,5.040527344,-4.480140686,5.048422302,0.403406126,3.954625961,-5.697674079,3.975148173,0
18,iota_full_20201116_1450.png,2020-11-16T14:50:00,True,3812.613281,3021.173828,78.39784241,213.9286499,273,-0.702390194,-1.385776281,1.553617677,50,34.34893709,-13.22908868,-33.36907355,35.89573591,-111.6257308,N,3.589573591,Uncertain,0.55,-0.074091529,0.45,0.55,80,3821.212189,3042.863726,81.03243995,False,-13.97827148,-40.71337891,6.528167725,43.04615309,-4.630181038,-11.67917574,-1.418629448,12.56350757,0
